AdamW Baseline_loss,AdamW Baseline_ppl,Muon (Polar Express)_loss,Muon (Polar Express)_ppl,Muon (Newton-Schulz)_loss,Muon (Newton-Schulz)_ppl,Muon (SVD)_loss,Muon (SVD)_ppl,Muon (QR)_loss,Muon (QR)_ppl,Muon (Sign)_loss,Muon (Sign)_ppl
5.724391937255859,306.2469912300876,5.737626075744629,310.32684344229807,5.7350311279296875,309.5226054071509,5.717698097229004,304.20386865883904,5.685306549072266,294.5081124030254,5.715736389160156,303.6076944262056
5.6873931884765625,295.12328623502094,5.712742805480957,302.7001784275617,5.717513561248779,304.14773727903685,5.701423645019531,299.29318506473857,5.7175188064575195,304.14933260159063,5.803420543670654,331.4312984558219
5.733825206756592,309.1495705142835,5.676675796508789,291.97722320660023,5.712691307067871,302.68459025011845,5.690427780151367,296.0202251358245,5.7123823165893555,302.5910780416728,5.886995315551758,360.3210053087907
5.696606636047363,297.85495387425505,5.709414482116699,301.6943691091708,5.701649188995361,299.36069645274415,5.734165191650391,309.25469456746515,5.710641384124756,302.0647456978801,6.036979675292969,418.62673486036124
5.725621223449707,306.6236879148941,5.713475704193115,302.92210831463154,5.741840839385986,311.6375579746342,5.692008018493652,296.48837744436935,5.720528602600098,305.0661390978479,6.065369606018066,430.6818308549561
5.729259490966797,307.7412987694228,5.663656711578369,288.2005844739241,5.707413673400879,301.0913398602042,5.703517913818359,299.92064224658725,5.696028232574463,297.6827233486823,6.52701997756958,683.3587497779125
5.705136299133301,300.40642239334636,5.66979455947876,289.97495566596336,5.677536487579346,292.2286335732287,5.702462673187256,299.60432072579545,5.712269306182861,302.5568840331176,6.692553520202637,806.3787297754183
5.680132865905762,292.9883554997833,5.692500114440918,296.63431407778904,5.690025806427002,295.90125669613457,5.689125061035156,295.6348450052882,5.705949783325195,300.65089769402124,6.464310646057129,641.8217685445287
5.705489158630371,300.5124423564442,5.6793413162231445,292.7565324218229,5.67926025390625,292.7328018608589,5.683119773864746,293.8647930182117,5.7201642990112305,304.955022649822,6.939828872680664,1032.5934948832705
5.683525085449219,293.9839239640359,5.67255973815918,290.7778978589212,5.6698832511901855,290.0006751815891,5.666852951049805,289.1232162482949,5.723156929016113,305.8690071273049,6.986334323883057,1081.7488585142714
5.687338829040527,295.1072439356495,5.699669361114502,298.7686001172943,5.6980085372924805,298.2728099329849,5.689351558685303,295.70181318676487,5.688210487365723,295.3645887637384,6.6794891357421875,795.9124049386635
5.69312858581543,296.8207988469164,5.701234817504883,299.23667561188927,5.689200401306152,295.65711905368266,5.688475608825684,295.4429066361478,5.7466230392456055,313.1314402353821,6.671422004699707,789.5175042017082
5.676118850708008,291.8146529938125,5.665807247161865,288.82103699951415,5.6747636795043945,291.41946201548006,5.670345306396484,290.1347024650044,5.678890705108643,292.6246427921688,6.6031646728515625,737.4252099627143
5.668773651123047,289.6790688731252,5.67067813873291,290.2312847478659,5.668146133422852,289.4973471527924,5.667248725891113,289.23766659011324,5.741424560546875,311.5078568515665,6.721190929412842,829.8051626284384
5.694276332855225,297.16166961943276,5.645733833312988,283.0812144456429,5.7039594650268555,300.0531018103122,5.674900531768799,291.45934615780374,5.691434860229492,296.3184913710639,6.813206672668457,909.783512328516
5.6925201416015625,296.64025488033826,5.643398284912109,282.4208360409742,5.645227432250977,282.9378981088473,5.64154052734375,281.89665364801823,5.72960090637207,307.846384327555,6.696169853210449,809.3001430104388
5.707075119018555,300.98942132107214,5.6499481201171875,284.2767171985711,5.627592086791992,277.9919306392915,5.667937278747559,289.43689059189205,5.72928524017334,307.7492229657071,6.919865608215332,1012.1839561856178
5.666814804077148,289.1121872832326,5.661935806274414,287.70504506998986,5.64885139465332,283.9651145865276,5.667447090148926,289.2950466960707,5.745893478393555,312.90307510829757,7.034036159515381,1134.600810811448
5.665074348449707,288.6094379832478,5.657574653625488,286.45305150247816,5.622052192687988,276.4561427607191,5.652354717254639,284.9616806173342,5.712557315826416,302.6440358831272,7.14643669128418,1269.574001488785
5.679827690124512,292.89895619144227,5.679842472076416,292.90328584172573,5.645150661468506,282.9161775787806,5.646317005157471,283.24634758542834,5.707826614379883,301.21569848747515,6.937135696411133,1029.8162800299883
5.690020561218262,295.89970463634717,5.656151294708252,286.0456160294964,5.631513595581055,279.08421874750235,5.658571243286133,286.7386699504222,5.72422456741333,306.19573900854806,6.783332824707031,883.006732108675
5.6897478103637695,295.8190087445006,5.6417436599731445,281.95392187281686,5.632477283477783,279.3532984648863,5.635590553283691,280.2243558689791,5.726908206939697,307.0185615823225,6.730841636657715,837.8521363618547
5.692928314208984,296.76136002085815,5.621776103973389,276.3798268750833,5.6424760818481445,282.1605067373404,5.654123306274414,285.46610664641577,5.746895790100098,313.2168587517318,6.866023540496826,959.1270429374636
5.697042942047119,297.98493813208114,5.639448165893555,281.3074405952882,5.63117790222168,278.9905477518077,5.643606185913086,282.47955771942014,5.738895416259766,310.72100398666464,7.077352523803711,1184.8275597757552
5.684891223907471,294.3858211697793,5.639841079711914,281.41799189304936,5.633899688720703,279.75093479420684,5.628981590270996,278.3784698806686,5.7300004959106445,307.96942110268714,7.060883522033691,1165.4744333571302
5.661950588226318,287.7092979435615,5.630397796630859,278.772990535554,5.61500883102417,274.5158034403717,5.642630577087402,282.2041025599247,5.753466606140137,315.28172561205065,6.845394134521484,939.5435145777482
5.677604675292969,292.24856065499057,5.641129970550537,281.7809428164383,5.611777305603027,273.6301304511773,5.6146240234375,274.41018799866197,5.721370220184326,305.32299619742975,6.836267948150635,931.0080726182898
5.677181243896484,292.12483963436273,5.6410064697265625,281.74614478665706,5.630890846252441,278.91047334318284,5.621570110321045,276.32290024857434,5.750444412231445,314.330321489406,7.045247554779053,1147.3928432425048
5.669355392456055,289.84763618732904,5.618996620178223,275.6127002268886,5.613150119781494,274.0060317361874,5.627343654632568,277.92287708157784,5.777172088623047,322.84492146434576,7.266572952270508,1431.6357523352833
5.669641971588135,289.9307123747253,5.629973411560059,278.6547085405599,5.613672256469727,274.1491376953384,5.600259780883789,270.4966681630767,5.778073310852051,323.1360076310507,7.080566883087158,1188.6421486870502
5.645787715911865,283.0964680081176,5.620378494262695,275.9938255476365,5.5971550941467285,269.65816306637277,5.624754905700684,277.20433499420017,5.777714729309082,323.02015779489346,7.462548732757568,1741.5812305944617
5.673537254333496,291.06227692713685,5.619907379150391,275.8638313090477,5.602254867553711,271.03687115669896,5.609735488891602,273.0719978741892,5.775734901428223,322.38126613685984,7.15217924118042,1276.8855669613702
5.667917728424072,289.4312320623653,5.620105266571045,275.91842669276895,5.6049652099609375,271.77247029498005,5.60798978805542,272.5957117066985,5.734048366546631,309.21856796597217,6.937093734741211,1029.7730681257938
5.653759479522705,285.36226533138125,5.611719131469727,273.614212718498,5.62653923034668,277.6993990672714,5.610346794128418,273.2389792496122,5.7598676681518555,317.3063364055139,7.168709754943848,1298.1685662129682
5.669738292694092,289.95864016658845,5.629950523376465,278.64833071342025,5.607781410217285,272.5389147194305,5.604090690612793,271.534903904757,5.8211164474487305,337.34847530805166,7.1052961349487305,1218.402842978618
5.667572975158691,289.3314668981798,5.597120761871338,269.648905246979,5.613259792327881,274.036084323355,5.613463401794434,274.09188634501743,5.808406829833984,333.08803680653466,6.979466438293457,1074.3449846985047
5.670735836029053,290.2480307913479,5.612235069274902,273.7554170580691,5.591063499450684,268.02050786048346,5.606606483459473,272.2188894958956,5.816651344299316,335.8455374518048,6.99418830871582,1090.278349041372
5.641473293304443,281.8777012344572,5.611895561218262,273.6624906639512,5.591098785400391,268.0299653855022,5.605660915374756,271.9616096589021,5.8186750411987305,336.52587519112984,6.787299156188965,886.5159843372273
5.641641139984131,281.9250174415104,5.593280792236328,268.6154471324992,5.590153694152832,267.7767722752751,5.615254878997803,274.5833558077592,5.794483184814453,328.48237542610616,6.891168117523193,983.5496480322255
5.646677494049072,283.3484731537801,5.606607437133789,272.21914910418275,5.581592559814453,265.49408449556955,5.574926376342773,263.73013814486325,5.821039199829102,337.32241694783477,6.77440881729126,875.1618295301215
5.625507831573486,277.41312790299827,5.621336936950684,276.2584766178448,5.567388534545898,261.7496557453836,5.591690540313721,268.188620372243,5.82014274597168,337.02015846659975,6.863846778869629,957.0415226585316
5.665860652923584,288.83646211888697,5.5903825759887695,267.83806852906685,5.5734405517578125,263.33857239286044,5.590468883514404,267.8611859676225,5.8575849533081055,349.8781508038739,6.886319160461426,978.7920021530551
5.644479751586914,282.7264299784683,5.610860824584961,273.3794685116476,5.5771803855896,264.32525876663874,5.598353385925293,269.98148590505934,5.806543350219727,332.467912014598,7.0113630294799805,1109.1653000397703
5.661440849304199,287.5626786880895,5.598757743835449,270.0906771291606,5.575040817260742,263.76032139103484,5.5948805809021,269.0455190005985,5.812566757202148,334.47654489090144,7.173563003540039,1304.4842142930793
5.635748386383057,280.26858803814184,5.603150367736816,271.27969343191705,5.5787672996521,264.7450532376269,5.575587749481201,263.90461986642794,5.849884033203125,347.19411515463105,7.093175411224365,1203.7240571944153
5.629448890686035,278.5085866546252,5.579811096191406,265.02153747953963,5.577475547790527,264.4032891070141,5.578403472900391,264.6487494248904,5.836005210876465,342.40875411878585,6.970550537109375,1064.808805962731
5.642478942871094,282.16131400618036,5.595456123352051,269.20041068684714,5.563947677612305,260.8505603439389,5.5822672843933105,265.6732803270376,5.825798988342285,338.93182750168546,6.842223167419434,936.5689715834928
