NS-5 Baseline (from Iter1)_loss,NS-5 Baseline (from Iter1)_ppl,NS-3 Steps_loss,NS-3 Steps_ppl,NS-7 Steps_loss,NS-7 Steps_ppl,Hybrid SVD-NS_loss,Hybrid SVD-NS_ppl,NS-5 (High Momentum 0.99)_loss,NS-5 (High Momentum 0.99)_ppl
5.697221755981445,298.0382267554707,5.721368789672852,305.3225594296926,5.7365803718566895,310.00250306712957,5.741540908813477,311.544102359254,5.716221809387207,303.755107517922
5.686181545257568,294.76591865121213,5.723163604736328,305.87104903003444,5.698204517364502,298.331271188191,5.722443580627441,305.6508937685816,5.667610168457031,289.34222828987185
5.691577911376953,296.3608831032891,5.7252044677734375,306.4959273767908,5.699070453643799,298.5897189426554,5.710729122161865,302.0912494284232,5.692717552185059,296.69882058669754
5.717103481292725,304.0230379583928,5.681883811950684,293.50181168791477,5.676077365875244,291.80254736283683,5.694432258605957,297.20800838846685,5.706876754760742,300.9297216992337
5.692694664001465,296.692029767335,5.6935577392578125,296.9482078515634,5.679802894592285,292.89169369597397,5.6866936683654785,294.9169137503174,5.7079925537109375,301.26568616633165
5.702676773071289,299.6684728433541,5.674245834350586,291.26859092665245,5.700148105621338,298.9116681872093,5.6927385330200195,296.7050456409886,5.657652854919434,286.4754533776767
5.682825565338135,293.7783482074586,5.739076137542725,310.77716295955537,5.671736717224121,290.5386800156806,5.683864593505859,294.0837508197966,5.6673583984375,289.26938976106777
5.716034412384033,303.698190054322,5.699501037597656,298.71831456803847,5.681339740753174,293.34216923812585,5.690831184387207,296.13966503820006,5.658996105194092,286.8605201717488
5.6850175857543945,294.42302265622527,5.685132026672363,294.45671862527126,5.663827896118164,288.24992418132297,5.69473934173584,297.2992899687084,5.691506385803223,296.3396864791533
5.667264938354492,289.242355883203,5.713606357574463,302.96168869796696,5.688518047332764,295.4554450580869,5.712355613708496,302.58299809604614,5.666005611419678,288.87833445285474
5.669777870178223,289.97011622716354,5.701884746551514,299.4312214328285,5.669569492340088,289.9096991762263,5.691309928894043,296.2814742185679,5.668257713317871,289.5296510385947
5.6933135986328125,296.8757195795319,5.688173294067383,295.353603384762,5.661294937133789,287.52072285452095,5.686820983886719,294.95446364120534,5.66535758972168,288.6911956655939
5.708332061767578,301.3679856587428,5.639476776123047,281.315488980854,5.673829555511475,291.1473672089367,5.669852256774902,289.9916869195238,5.65252685546875,285.0107376342983
5.677000045776367,292.071911957924,5.685861587524414,294.6716211024888,5.660304069519043,287.23596898166943,5.667920112609863,289.43192212101894,5.65416145324707,285.47699652188686
5.652425765991211,284.98192750396294,5.673107624053955,290.9372546183446,5.676335334777832,291.8778330560187,5.677996635437012,292.36313289533035,5.648552894592285,283.88036363220345
5.691059589385986,296.2073125432517,5.663287162780762,288.0940999712838,5.648238182067871,283.7910369831781,5.663036346435547,288.02185032312616,5.659399032592773,286.97612742402674
5.672911643981934,290.88024230105225,5.679234504699707,292.7252643205251,5.694259166717529,297.15656854507733,5.634305953979492,279.86461096990445,5.677536964416504,292.2287729187331
5.6483330726623535,283.8179673610858,5.677276611328125,292.1527001585093,5.661428928375244,287.55925069425916,5.644534587860107,282.7419340673109,5.650441646575928,284.41704990621616
5.643339157104492,282.4041376097894,5.666552543640137,289.0363745364268,5.640019416809082,281.4681836362063,5.63718318939209,280.671006878441,5.661971569061279,287.715334388183
5.639122009277344,281.215705273203,5.672102928161621,290.64509794258424,5.662166118621826,287.77131472534927,5.629911422729492,278.63743559641597,5.655187606811523,285.7700901132352
5.6448283195495605,282.82499653172556,5.654248237609863,285.5017725361918,5.649823188781738,284.2412043470345,5.641236305236816,281.81090749770647,5.641722202301025,281.9478718629184
5.639925956726074,281.44187882564364,5.701714515686035,299.3802533351475,5.679165840148926,292.705165161806,5.639250755310059,281.2519130103453,5.657397270202637,286.40224398605517
5.631741046905518,279.14770404232667,5.643825531005859,282.5415250200779,5.653502464294434,285.2889323078726,5.646218776702881,283.2185261008899,5.648633003234863,283.90310581369914
5.639965534210205,281.4530178075616,5.617176055908203,275.1113860682797,5.654057502746582,285.44732258755744,5.649873733520508,284.25557160754744,5.626276016235352,277.62631428562446
5.644078254699707,282.61293898156634,5.656611442565918,286.17726959463715,5.642313003540039,282.1144962310472,5.639377117156982,281.28745476703784,5.6556315422058105,285.8969817346221
5.637290954589844,280.7012550748232,5.644918918609619,282.85062137134804,5.66267728805542,287.91845222819506,5.642556190490723,282.1831111379161,5.63032865524292,278.7537164503945
5.640297889709473,281.54657581221284,5.654716968536377,285.63562741506394,5.652490615844727,285.0004091394753,5.628352165222168,278.2033066305229,5.620971202850342,276.15745794654964
5.615108013153076,274.54303185243896,5.631255149841309,279.0120999399374,5.640707492828369,281.66192178920346,5.634171962738037,279.827114075425,5.634171962738037,279.827114075425
5.612544059753418,273.8400179451433,5.643517017364502,282.454370550222,5.647339344024658,283.53606940725916,5.629491806030273,278.52053920296686,5.621337890625,276.25874007858425
5.61083984375,273.37373284230677,5.633681297302246,279.6898462615909,5.632309913635254,279.30654705980896,5.591540336608887,268.1483404730395,5.614615440368652,274.4078327272336
5.6408514976501465,281.70248538465876,5.633774280548096,279.7158539404479,5.645177841186523,282.9238672652111,5.641432285308838,281.8661422319311,5.592400550842285,268.37910473129654
5.643157005310059,282.3527018740663,5.638794422149658,281.1235977155013,5.638786315917969,281.12131887172126,5.618399143218994,275.44807717297033,5.6103596687316895,273.2424971157139
5.613746166229248,274.16940074098767,5.629944324493408,278.6466034103579,5.613188743591309,274.01661509742877,5.641644477844238,281.92595846934995,5.628574371337891,278.2651319754009
5.6302971839904785,278.74494385985804,5.636494159698486,280.4776828312213,5.614638328552246,274.4141134959661,5.623972415924072,276.9875102786598,5.595046043395996,269.09003962628935
5.612452507019043,273.8149482903343,5.623859405517578,276.95620957621526,5.621219635009766,276.22607286289133,5.637451171875,280.7462318707851,5.622328281402588,276.5324797192186
5.601546287536621,270.8448878716951,5.604989051818848,271.7789499328437,5.6116862297058105,273.6052104763627,5.616118431091309,274.82057525044036,5.602727890014648,271.1651080115636
5.615765571594238,274.7236193073916,5.620284557342529,275.96790075534636,5.625459671020508,277.39976785507116,5.598302364349365,269.96771137557926,5.596779823303223,269.55698720542335
5.6040167808532715,271.51483556693984,5.613624095916748,274.1359348391994,5.602107048034668,270.9968095777763,5.585809230804443,266.6159493048154,5.590789794921875,267.94715947201945
5.598827838897705,270.1096098155249,5.5944013595581055,268.9166175340214,5.607932090759277,272.57998412491685,5.595080375671387,269.0992782582254,5.594125747680664,268.8425111329589
5.5868964195251465,266.9059687820449,5.600520133972168,270.5671019744615,5.608842372894287,272.8282217808376,5.593792915344238,268.7530465410284,5.603411674499512,271.3505899128543
5.6169962882995605,275.0619343973334,5.619328498840332,275.70418538124585,5.599504470825195,270.2924364476409,5.587714195251465,267.1243272764935,5.595456600189209,269.20053905163655
